,Current,Frequency,Signal
0,,2650000000.0,5.68438e-13
1,,2651758793.96985,6.03965e-13
2,,2653517587.9397,6.25281e-13
3,,2655276381.90955,7.53179e-13
4,,2657035175.8794,8.34891e-13
5,,2658793969.84925,7.10546e-13
6,,2660552763.8191,7.53179e-13
7,,2662311557.78894,6.14623e-13
8,,2664070351.75879,4.58304e-13
9,,2665829145.72864,5.22252e-13
10,,2667587939.69849,7.2831e-13
11,,2669346733.66834,6.99888e-13
12,,2671105527.63819,6.46597e-13
13,,2672864321.60804,5.50674e-13
14,,2674623115.57789,6.46597e-13
15,,2676381909.54774,7.6739e-13
16,,2678140703.51759,7.38968e-13
17,,2679899497.48744,6.75019e-13
18,,2681658291.45729,6.39492e-13
19,,2683417085.42714,6.03965e-13
20,,2685175879.39699,5.79096e-13
21,,2686934673.36683,6.78572e-13
22,,2688693467.33668,6.99888e-13
23,,2690452261.30653,6.35939e-13
24,,2692211055.27638,7.2831e-13
25,,2693969849.24623,7.2831e-13
26,,2695728643.21608,6.75019e-13
27,,2697487437.18593,5.29358e-13
28,,2699246231.15578,6.18176e-13
29,,2701005025.12563,7.2831e-13
30,,2702763819.09548,7.46073e-13
31,,2704522613.06533,5.54227e-13
32,,2706281407.03518,8.10022e-13
33,,2708040201.00502,8.10022e-13
34,,2709798994.97487,7.17652e-13
35,,2711557788.94472,6.82124e-13
36,,2713316582.91457,7.17652e-13
37,,2715075376.88442,6.18176e-13
38,,2716834170.85427,6.00412e-13
39,,2718592964.82412,2.77113e-13
40,,2720351758.79397,4.58304e-13
41,,2722110552.76382,6.64361e-13
42,,2723869346.73367,6.28834e-13
43,,2725628140.70352,5.36463e-13
44,,2727386934.67337,3.65931e-13
45,,2729145728.64322,3.94353e-13
46,,2730904522.61307,3.58826e-13
47,,2732663316.58291,3.83695e-13
48,,2734422110.55276,4.26327e-13
49,,2736180904.52261,5.40016e-13
50,,2737939698.49246,6.25281e-13
51,,2739698492.46231,6.21728e-13
52,,2741457286.43216,5.36463e-13
53,,2743216080.40201,7.56731e-13
54,,2744974874.37186,5.25805e-13
55,,2746733668.34171,5.93307e-13
56,,2748492462.31156,6.78572e-13
57,,2750251256.28141,7.92259e-13
58,,2752010050.25126,5.75543e-13
59,,2753768844.22111,5.75543e-13
60,,2755527638.19095,4.7962e-13
61,,2757286432.1608,4.72514e-13
62,,2759045226.13065,5.68438e-13
63,,2760804020.1005,6.32387e-13
64,,2762562814.07035,5.61332e-13
65,,2764321608.0402,5.5778e-13
66,,2766080402.01005,6.28834e-13
67,,2767839195.9799,5.93307e-13
68,,2769597989.94975,6.28834e-13
69,,2771356783.9196,4.76067e-13
70,,2773115577.88945,4.61856e-13
71,,2774874371.8593,6.5015e-13
72,,2776633165.82915,6.75019e-13
73,,2778391959.799,6.96335e-13
74,,2780150753.76884,6.1107e-13
75,,2781909547.73869,6.21728e-13
76,,2783668341.70854,7.56731e-13
77,,2785427135.67839,1.09424e-12
78,,2787185929.64824,1.6307e-12
79,,2788944723.61809,2.53665e-12
80,,2790703517.58794,4.48355e-12
81,,2792462311.55779,1.01288e-11
82,,2794221105.52764,1.32162e-11
83,,2795979899.49749,1.33902e-11
84,,2797738693.46734,1.16387e-11
85,,2799497487.43719,7.30088e-12
86,,2801256281.40704,4.32723e-12
87,,2803015075.37688,2.94166e-12
88,,2804773869.34673,2.24533e-12
89,,2806532663.31658,2.11743e-12
90,,2808291457.28643,2.91324e-12
91,,2810050251.25628,4.27039e-12
92,,2811809045.22613,8.19617e-12
93,,2813567839.19598,1.23564e-11
94,,2815326633.16583,1.43459e-11
95,,2817085427.13568,1.45449e-11
96,,2818844221.10553,1.05871e-11
97,,2820603015.07538,7.37194e-12
98,,2822361809.04523,5.43923e-12
99,,2824120603.01508,4.26684e-12
100,,2825879396.98492,3.36443e-12
101,,2827638190.95477,2.31283e-12
102,,2829396984.92462,1.54188e-12
103,,2831155778.89447,1.15109e-12
104,,2832914572.86432,8.95287e-13
105,,2834673366.83417,8.27786e-13
106,,2836432160.80402,9.55687e-13
107,,2838190954.77387,1.0374e-12
108,,2839949748.74372,1.3607e-12
109,,2841708542.71357,2.2098e-12
110,,2843467336.68342,2.43007e-12
111,,2845226130.65327,2.52244e-12
112,,2846984924.62312,1.81544e-12
113,,2848743718.59296,1.13688e-12
114,,2850502512.56281,7.42521e-13
115,,2852261306.53266,5.47121e-13
116,,2854020100.50251,4.7962e-13
117,,2855778894.47236,5.04489e-13
118,,2857537688.44221,6.00412e-13
119,,2859296482.41206,6.78572e-13
120,,2861055276.38191,6.46597e-13
121,,2862814070.35176,4.65409e-13
122,,2864572864.32161,5.11594e-13
123,,2866331658.29146,5.64885e-13
124,,2868090452.26131,5.54227e-13
125,,2869849246.23116,4.05011e-13
126,,2871608040.201,6.35939e-13
127,,2873366834.17085,5.29358e-13
128,,2875125628.1407,6.18176e-13
129,,2876884422.11055,5.86201e-13
130,,2878643216.0804,6.1107e-13
131,,2880402010.05025,4.83173e-13
132,,2882160804.0201,5.96859e-13
133,,2883919597.98995,7.14099e-13
134,,2885678391.9598,5.89754e-13
135,,2887437185.92965,5.7199e-13
136,,2889195979.8995,4.86725e-13
137,,2890954773.86935,5.93307e-13
138,,2892713567.8392,5.187e-13
139,,2894472361.80905,5.75543e-13
140,,2896231155.77889,6.28834e-13
141,,2897989949.74874,4.08564e-13
142,,2899748743.71859,4.36986e-13
143,,2901507537.68844,5.5778e-13
144,,2903266331.65829,9.62792e-13
145,,2905025125.62814,1.83321e-12
146,,2906783919.59799,2.10677e-12
147,,2908542713.56784,2.09967e-12
148,,2910301507.53769,1.60939e-12
149,,2912060301.50754,9.69898e-13
150,,2913819095.47739,7.56731e-13
151,,2915577889.44724,7.10546e-13
152,,2917336683.41709,6.85677e-13
153,,2919095477.38693,7.63837e-13
154,,2920854271.35678,9.13054e-13
155,,2922613065.32663,1.46372e-12
156,,2924371859.29648,2.11743e-12
157,,2926130653.26633,2.78534e-12
158,,2927889447.23618,3.6984e-12
159,,2929648241.20603,6.32386e-12
160,,2931407035.17588,9.04526e-12
161,,2933165829.14573,1.01395e-11
162,,2934924623.11558,9.87305e-12
163,,2936683417.08543,5.89753e-12
164,,2938442211.05528,2.9985e-12
165,,2940201005.02513,1.95401e-12
166,,2941959798.99498,1.55254e-12
167,,2943718592.96482,1.6982e-12
168,,2945477386.93467,2.2098e-12
169,,2947236180.90452,4.91698e-12
170,,2948994974.87437,7.52826e-12
171,,2950753768.84422,9.04882e-12
172,,2952512562.81407,8.9671e-12
173,,2954271356.78392,5.09462e-12
174,,2956030150.75377,2.41941e-12
175,,2957788944.72362,1.32872e-12
176,,2959547738.69347,8.38444e-13
177,,2961306532.66332,6.32387e-13
178,,2963065326.63317,5.04489e-13
179,,2964824120.60301,6.78572e-13
180,,2966582914.57286,6.39492e-13
181,,2968341708.54271,6.67914e-13
182,,2970100502.51256,5.64885e-13
183,,2971859296.48241,4.54751e-13
184,,2973618090.45226,4.86725e-13
185,,2975376884.42211,5.75543e-13
186,,2977135678.39196,6.32387e-13
187,,2978894472.36181,6.39492e-13
188,,2980653266.33166,5.61332e-13
189,,2982412060.30151,5.32911e-13
190,,2984170854.27136,5.61332e-13
191,,2985929648.24121,5.54227e-13
192,,2987688442.21106,6.57256e-13
193,,2989447236.1809,5.5778e-13
194,,2991206030.15075,5.64885e-13
195,,2992964824.1206,6.1107e-13
196,,2994723618.09045,5.89754e-13
197,,2996482412.0603,6.99888e-13
198,,2998241206.03015,6.67914e-13
199,,3000000000.0,6.99888e-13
